well position,sample_status,origin,sample_name,sample_id,Latitude,Longitude
C12,Introduced,Canary Islands,CanaryIslands_1.1,CI1.1,28.5075,-13.8825
A2,Introduced,Canary Islands,CanaryIslands_1.2,CI1.2,28.5075,-13.8825
D1,Introduced,Canary Islands,CanaryIslands_1.4,CI1.4,28.5075,-13.8825
E1,Introduced,Canary Islands,CanaryIslands_1.5,CI1.5,28.5075,-13.8825
C11,Introduced,Canary Islands,CanaryIslands_2.1,CI2.1,28.681667,-13.956111
A6,Introduced,Crete,Crete_3.3,CR3.3,35.225278,23.678333
C8,Introduced,Crete,Crete_4.1,CR4.1,35.340833,25.054444
A9,Introduced,Crete,Crete_4.3,CR4.3,35.340833,25.054444
A11,Introduced,Crete,Crete_5.1,CR5.1,35.006944,25.728889
A5,Introduced,Crete,Crete_5.2,CR5.2,35.006944,25.728889
E11,Introduced,Cyprus,Cyprus_1.1,CY1.1,Not given,Not given
D12,Introduced,Cyprus,Cyprus_1.2,CY1.2,Not given,Not given
D3,Introduced,Cyprus,Cyprus_1.5,CY1.5,Not given,Not given
F5,Introduced,Cyprus,Cyprus_1.6,CY1.6,Not given,Not given
A8,Introduced,Egypt,Egypt_3.1,EG3.1,30.812778,29.075
A10,Introduced,Egypt,Egypt_3.2,EG3.2,30.812778,29.075
A1,Introduced,Egypt,Egypt_3.3,EG3.3,30.812778,29.075
E3,Introduced,Egypt,Egypt_3.4,EG3.4,30.812778,29.075
D4,Introduced,Egypt,Egypt_7.3,EG7.3,31.364167,27.146667
D8,Introduced,Italy,Italy_1.2,I1.2,36.793333,12.051667
A12,Introduced,Italy,Italy_1.4,IO1.4,36.793333,12.051667
E9,Introduced,Italy,Italy_3.1,I3.1,40.776944,8.166944
G12,Introduced,Italy,Italy_3.2,I3.2,40.776944,8.166944
G8,Introduced,Italy,Italy_3.3,I3.3,40.776944,8.166944
F2,Introduced,Italy,Italy_3.4,I3.4,40.776944,8.166944
C6,Introduced,Malta,Malta_1.3,MT1.3,36.08075,14.23834
C9,Introduced,Malta,Malta_2.2,MT2.2,35.8195,14.4542
C10,Introduced,Malta,Malta_2.3,MT2.3,35.8195,14.4542
C5,Introduced,Malta,Malta_2.4,MT2.4,35.8195,14.4542
F6,Invasive,Mexico,Mexico_183,MX183,31.804166,-116.788611
F4,Invasive,Mexico,Mexico_184,MX184,31.80416666,-116.788611
H9,Invasive,Mexico,Mexico_185,MX185,31.809711,-116.80188
H10,Invasive,Mexico,Mexico_186,MX186,31.80889812,-116.8013012
G3,Invasive,Mexico,Mexico_193,MX193,30.480475,-116.109276
G2,Invasive,Mexico,Mexico_194,MX194,30.4885411,-116.1237069
F7,Invasive,Mexico,Mexico_195,MX195,30.48057988,-116.1086822
H5,Invasive,Mexico,Mexico_206,MX206,27.1467868,-114.3792396
G5,Invasive,Mexico,Mexico_207,MX207,27.1466579,-114.3795855
H11,Invasive,Mexico,Mexico_208,MX208,27.1463863,-114.3809838
F9,Invasive,Mexico,Mexico_209,MX209,27.1462407,-114.3814
H8,Invasive,Mexico,Mexico_210,MX210,27.1461619,-114.381533
F12,Introduced,Morocco,Morocco_1.1,MO1.1,29.590556,-10.036944
D2,Introduced,Morocco,Morocco_1.2,MO1.2,29.590556,-10.036944
